text,label
"Ohio Attorney General Sues Norfolk Southern Over Derailment. The suit, filed in federal court, seeks to force the company to pay civil penalties, costs and damages after the train derailment and controlled burn of toxic chemicals.",D
"Britain's work force is smaller than it was before the pandemic, sapping economic potential. The government is going to try luring more people off the sidelines.",D
"By launching Bing, Microsoft is abandoning the ethical principles it had carefully crafted around A.I.",A
"Nearly 20 years after their deployment to Iraq, veterans grapple with their younger selves and try to make sense of the war.",D
"Chi Ossé called his unsuccessful search for a new home “tiring, treacherous, and competitive.” To many New Yorkers, his experience is relatable.",A
Regional bank leaders offered jittery customers everything from a personal cellphone number to a video chat with Mitt Romney.,D
Categories split between actors and actresses need to evolve. But we also need to ditch our gendered notions of what constitutes great acting.,A
"A $7.8 billion factory planned by a Chinese company in eastern Hungary has become divisive even within the party of Prime Minister Viktor Orban, who championed it.",D
Stricter limits on oil and gas industry practices like venting and flaring will provide immediate health and climate benefits.,A
A two-day strike by educators in England coincided with walkouts by doctors and transit staff. And it began on the day that the government detailed its new budget.,D
"Just before his House election, Mr. Santos helped two of his largest donors reach a private deal on a $19 million boat, mixing his political and personal interests.",A
"Defense Secretary Lloyd J. Austin III said that he spoke by phone with his Russian counterpart, Sergei Shoigu, after an American spy drone was struck by a Russian war plane over the Black Sea.",D
"Larry Giberson was part of a mob that fought with the police and he cheered on others who used weapons and pepper spray against officers, prosecutors said.",D
